origen,destino,origen_id,destino_id,origen_etiqueta,destino_etiqueta,peso,tipo_arista
a:UC1DpqK6vaPEkBOMNvypsKYg,a:UCsGoJEvb-cFPZ2rWoJcXzEQ,UC1DpqK6vaPEkBOMNvypsKYg,UCsGoJEvb-cFPZ2rWoJcXzEQ,@HectorCarranza-u4j4o,@sergiohinestroza9709,1,autor-autor
a:UC1DpqK6vaPEkBOMNvypsKYg,a:UCu8_3-Wg-YzNyvHYQDEscfw,UC1DpqK6vaPEkBOMNvypsKYg,UCu8_3-Wg-YzNyvHYQDEscfw,@HectorCarranza-u4j4o,@RolandoCastroPérez-d7y,1,autor-autor
a:UC1DpqK6vaPEkBOMNvypsKYg,a:UCuXmOjxC-htcprLgeVXz6Tg,UC1DpqK6vaPEkBOMNvypsKYg,UCuXmOjxC-htcprLgeVXz6Tg,@HectorCarranza-u4j4o,@jorgeaguilar-bq3uj,1,autor-autor
a:UC1DpqK6vaPEkBOMNvypsKYg,a:UCylqlpsh8ENNM1LqgQ1KbxA,UC1DpqK6vaPEkBOMNvypsKYg,UCylqlpsh8ENNM1LqgQ1KbxA,@HectorCarranza-u4j4o,@Jel.Awesh.M,1,autor-autor
a:UCpsKOkt5iWTbenzeuq7dsmQ,a:UC-fiZBS5Gp1eCJd9ucgWnCg,UCpsKOkt5iWTbenzeuq7dsmQ,UC-fiZBS5Gp1eCJd9ucgWnCg,@inge_vergueta,@Tommii.10,1,autor-autor
a:UC1DpqK6vaPEkBOMNvypsKYg,a:UCRvPToDkkumha7WJAfCDk1A,UC1DpqK6vaPEkBOMNvypsKYg,UCRvPToDkkumha7WJAfCDk1A,@HectorCarranza-u4j4o,@ligiaguerra3057,1,autor-autor
a:UC1DpqK6vaPEkBOMNvypsKYg,a:UCHbwIx9pmQuf7i-4_xO2EpA,UC1DpqK6vaPEkBOMNvypsKYg,UCHbwIx9pmQuf7i-4_xO2EpA,@HectorCarranza-u4j4o,@caminoseternos752,1,autor-autor
a:UCj-LL25XJnjxepPKCc3NGog,a:UCsUCN0Yq_UyTvKjOJLmNrnQ,UCj-LL25XJnjxepPKCc3NGog,UCsUCN0Yq_UyTvKjOJLmNrnQ,@anaaguirre8985,@moisesvaldez4043,1,autor-autor
a:UC1DpqK6vaPEkBOMNvypsKYg,a:UCGGHbtfbbe0o68etrOf0qxw,UC1DpqK6vaPEkBOMNvypsKYg,UCGGHbtfbbe0o68etrOf0qxw,@HectorCarranza-u4j4o,@karensussetteleonvargas9794,1,autor-autor
a:UCj-LL25XJnjxepPKCc3NGog,a:UCsjs5Hp_r86x1xbK6FAeqaA,UCj-LL25XJnjxepPKCc3NGog,UCsjs5Hp_r86x1xbK6FAeqaA,@anaaguirre8985,@alvaroesquivel563,1,autor-autor
